"Ranking","Name","Year","Minutes","Genre","Rating","Votes","Gross"
"205.","Amélie","(2001)","122 min","Comedy, Romance","8.3","756,828","$33.23M"
"206.","Seven","(1995)","127 min","Crime, Drama, Mystery","8.6","1,645,902","$100.13M"
"207.","All the President's Men","(1976)","138 min","Drama, History, Thriller","7.9","116,830","$70.60M"
"208.","Leon","(1994)","110 min","Action, Crime, Drama","8.5","1,158,185","$19.50M"
"209.","The Kid","(1921)","68 min","Comedy, Drama, Family","8.3","127,123","$5.45M"
"210.","The Passion of Joan of Arc","(1928)","110 min","Biography, Drama, History","8.2","55,476","$0.02M"
"211.","Life Is Beautiful","(1997)","116 min","Comedy, Drama, Romance","8.6","693,917","$57.60M"
"212.","Rocky","(1976)","120 min","Drama, Sport","8.1","576,278","$117.24M"
"213.","Trainspotting","(1996)","93 min","Drama","8.1","687,567","$16.50M"
"214.","Star Wars: Return of the Jedi","(1983)","131 min","Action, Adventure, Fantasy","8.3","1,052,027","$309.13M"
"215.","The Gold Rush","(1925)","95 min","Adventure, Comedy, Drama","8.2","112,083","$5.45M"
"216.","Unforgiven","(1992)","130 min","Drama, Western","8.2","412,970","$101.16M"
"217.","Memento","(2000)","113 min","Mystery, Thriller","8.4","1,235,654","$25.54M"
"218.","Sunrise: A Song of Two Humans","(1927)","94 min","Drama, Romance","8.1","51,439","$0.54M"
"219.","Nashville","(1975)","160 min","Comedy, Drama, Music","7.7","26,741","$14.82M"
"220.","Duck Soup","(1933)","69 min","Comedy, Musical","7.8","60,513",""
"221.","Sullivan's Travels","(1941)","90 min","Adventure, Comedy, Drama","7.9","26,734",""
"222.","Cabaret","(1972)","124 min","Drama, Music, Musical","7.8","55,754","$42.77M"
"223.","Network","(1976)","121 min","Drama","8.1","160,501",""
"224.","Saving Private Ryan","(1998)","169 min","Drama, War","8.6","1,387,433","$216.54M"
"225.","The African Queen","(1951)","105 min","Adventure, Drama, Romance","7.7","79,452","$0.54M"
"226.","Who's Afraid of Virginia Woolf?","(1966)","131 min","Drama","8","75,996",""
"227.","Red River","(1948)","133 min","Drama, Western","7.8","31,743",""
"228.","In the Heat of the Night","(1967)","110 min","Drama, Mystery, Thriller","7.9","77,132","$24.38M"
"229.","Dial M for Murder","(1954)","105 min","Crime, Thriller","8.2","176,880","$0.01M"
"230.","The Wild Bunch","(1969)","145 min","Action, Adventure, Western","7.9","85,399","$12.06M"
"231.","Titanic","(1997)","194 min","Drama, Romance","7.9","1,170,288","$659.33M"
"232.","A Night at the Opera","(1935)","96 min","Comedy, Music, Musical","7.8","33,226","$2.54M"
"233.","Platoon","(1986)","120 min","Drama, War","8.1","415,316","$138.53M"
"234.","Once Upon a Time in America","(1984)","229 min","Crime, Drama","8.3","352,653","$5.32M"
"235.","The Spirit of the Beehive","(1973)","98 min","Drama, Fantasy","7.8","18,878",""
"236.","A Separation","(2011)","123 min","Drama","8.3","245,844","$7.10M"
"237.","Toy Story 3","(2010)","103 min","Animation, Adventure, Comedy","8.3","835,282","$415.00M"
"238.","Bringing Up Baby","(1938)","102 min","Comedy","7.8","62,161",""
"239.","The Sixth Sense","(1999)","107 min","Drama, Mystery, Thriller","8.2","991,318","$293.51M"
